BLDType,DEM,EFFYRBLT,FID,FLD_ZONE,FLOODPLAIN,Income,JV,JVclass,LNDVAL,NOBULDNG,NORESUNTS,PARUSEDESC,TOTLVGAREA,Zip Code,cate1,cate2,cate3,cate4,cate5,latitude,longitude,Label
3,4,2016,12,AE,100-YEAR FLOODPLAIN,57822,195700,3,0,1,1,CONDOMINIUMS,1625,33169,-9999,-9999,-9999,-9999,-9999,25.97212074,-80.22538404,4
1,6,1970,12,X,OUTSIDE FLOODPLAIN,27602,149771,3,59883,1,1,SINGLE FAMILY,1159,33179,-9999,-9999,-9999,-9999,-9999,25.97173603,-80.19809735,4
1,9,1991,12,X,OUTSIDE FLOODPLAIN,88607,187083,3,41848,1,1,SINGLE FAMILY,1548,33179,-9999,-9999,-9999,-9999,-9999,25.97135692,-80.19716312,4
1,9,1991,12,X,OUTSIDE FLOODPLAIN,79397,234081,4,46675,1,1,SINGLE FAMILY,1999,33179,-9999,-9999,-9999,-9999,-9999,25.9714583,-80.19716112,4
1,9,1991,12,X,OUTSIDE FLOODPLAIN,21400,170556,3,35556,1,1,SINGLE FAMILY,1440,33179,-9999,-9999,-9999,-9999,-9999,25.97146851,-80.19702537,4
1,8,1991,12,X,OUTSIDE FLOODPLAIN,65440,182452,3,37327,1,1,SINGLE FAMILY,1548,33179,-9999,-9999,-9999,-9999,-9999,25.97147129,-80.19687825,4
1,10,1968,12,X,OUTSIDE FLOODPLAIN,54934,228437,4,60964,2,1,SINGLE FAMILY,2056,33179,-9999,-9999,-9999,-9999,-9999,25.97277864,-80.19826939,4
1,10,1968,12,X,OUTSIDE FLOODPLAIN,116482,157661,3,41854,2,1,SINGLE FAMILY,1652,33179,-9999,-9999,-9999,-9999,-9999,25.97277102,-80.19854987,4
1,10,1968,12,X,OUTSIDE FLOODPLAIN,18220,196797,3,41854,1,1,SINGLE FAMILY,1986,33179,-9999,-9999,-9999,-9999,-9999,25.97276342,-80.1987915,4
1,10,1968,12,X,OUTSIDE FLOODPLAIN,30820,153110,3,41854,1,1,SINGLE FAMILY,1160,33179,-9999,-9999,-9999,-9999,-9999,25.97275608,-80.19902359,4
1,10,1968,12,X,OUTSIDE FLOODPLAIN,470343,170646,3,41854,1,1,SINGLE FAMILY,1531,33179,-9999,-9999,-9999,-9999,-9999,25.97274908,-80.19924554,4
1,10,1968,12,X,OUTSIDE FLOODPLAIN,33943,141877,3,41854,1,1,SINGLE FAMILY,1406,33179,-9999,-9999,-9999,-9999,-9999,25.97274243,-80.19947263,4
1,10,1968,12,X,OUTSIDE FLOODPLAIN,38318,148394,3,41854,1,1,SINGLE FAMILY,1487,33179,-9999,-9999,-9999,-9999,-9999,25.97273486,-80.19969802,4
1,10,1966,12,X,OUTSIDE FLOODPLAIN,82821,142245,3,41854,1,1,SINGLE FAMILY,1406,33179,-9999,-9999,-9999,-9999,-9999,25.9727272,-80.19993259,4
